Car Number,Number of stores closed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D13,0,(00423) 17-р сургууль(NARANTSATSRAL.B),(00328) Далайхүү(NARANTSATSRAL.B),(00365) Өнө бар төв(ERDENE.J),(00284) Таван буудал(ERDENE.J),(00349) Зургаан буудал(DASHNYAM.G),(00149) Долоон буудал(DASHNYAM.G),(00226) Шадивлан(DASHNYAM.G),(00297) Жигжидийн зам(DASHNYAM.G),(00498) Яргайт(DASHNYAM.G),(00463) Дамбадаржаагийн гудамж(DASHNYAM.G),(00254) Бэлх зах(DASHNYAM.G),(00571) Дарь эх 33(NARANTSATSRAL.B),(00457) 7 буудал Чингэлтэйн уулзвар(DASHNYAM.G),(00577) Чингэлтэйн гудамж(NARANTSATSRAL.B),(00261) ДЦС-4(DAGIIJANCHIV.E)
D14,0,(00390) F Офицерийн тойрог(TUGSJARGAL.M),(00080) 72-р хотхон(ZOLJARGAL.GO),(00201) Саруул тэнгэр(ZOLJARGAL.GO),(00528) Батлан хамгаалахын их сургууль(TUGSJARGAL.M),(00178) F Комфорт хотхон(MUNKHSULD.M),(00112) Икс апартмент(KHERLENCHIMEG.B),(00240) Тэнгэр(KHERLENCHIMEG.B),(00302) Офицер зах (USUKHBAYAR.B),(00110) F БЗД(KHERLENCHIMEG.B),(00506) Хорека төв(KHERLENCHIMEG.B),(00166) Сувдан сондор хотхон(KHERLENCHIMEG.B),(00582) Зүүн хүрээ хотхон(KHERLENCHIMEG.B),(00170) Зүүн дөрвөн зам(KHERLENCHIMEG.B),,
D15,0,(00500) Цонжинболдог(TSOLMONGEREL.KH),(00518) Тэрэлжийн пост(TSOLMONGEREL.KH),(00367) Налайх-Тэрэлжийн зам(TSOLMONGEREL.KH),(00507) Замд гаръя(TSOLMONGEREL.KH),(00256) Налайхын пост(TSOLMONGEREL.KH),(00470) Налайх Т.Дамдины гудамж (TSOLMONGEREL.KH),(00444) Налайхын эцэс(TSOLMONGEREL.KH),(00454) Налайх уурхайчдын 1-р гудамж(TSOLMONGEREL.KH),(00355) Налайх(TSOLMONGEREL.KH),(00212) F Буян Налайх(TSOLMONGEREL.KH),(00245) Налайх колонк(TSOLMONGEREL.KH),(00321) Налайх-Чойрын зам(TSOLMONGEREL.KH),,,
D16,0,(00279) Шар хадны эцэс(TUGSJARGAL.M),(00262) Да Хүрээ зах(TUGSJARGAL.M),(00428) Эрдэнэтолгой(TUGSJARGAL.M),(00402) Гачууртын зам(NOMIN.T),(00556) Улиастай шинэ эцэс(NOMIN.T),(00268) F Улиастайн зам(NOMIN.T),(00383) Хужирбулан(NOMIN.T),(00510) Гачууртын эцэс(NOMIN.T),(00313) Ургах Наран (MUNKHSULD.M),(00479) CU Хоолны үйлдвэр (MUNKHSULD.M),(00368) Хонхор(MUNKHSULD.M),(00063) Баянзүрхийн товчоо(NOMIN.T),(00441) Баянзүрхийн товчоо 2(MUNKHSULD.M),,
D17,0,(00104) F Улаанхуаран(TUGSJARGAL.M),(00525) Ток центр(TUGSJARGAL.M),(00142) F Грийн апартмент(TUGSJARGAL.M),(00435) Дандарбаатарын гудамж(TUGSJARGAL.M),(00436) Наран буудал(TUGSJARGAL.M),(00314) Кэстл Плаза(BATMUNKH.E),(00351) 1000 оюутны байр(ZOLJARGAL.GO),(00152) Хаппи таун(BATMUNKH.E),(00052) F Кино Үйлдвэр(BATMUNKH.E),(00248) F Би Жи зочид буудал(TUGSJARGAL.M),(00096) БЗД-ийн эмнэлэг(BATMUNKH.E),(00417) Офицеруудын ордон(TUGSJARGAL.M),(00073) Офицер Таун(ZOLJARGAL.GO),(00587) Лувсанцэвээний гудамж(ZOLJARGAL.GO),
D18,0,(00269) Амгалангийн гарам(NOMIN.T),(00062) Амгалан(MUNKHSULD.M),(00574) Ботаникийн эцэс(NOMIN.T),(00164) ДХИС(NOMIN.T),(00177) Ботаник(MUNKHSULD.M),(00461) Сэрэнэ таун(MUNKHSULD.M),(00424) Шөнийн дэлгүүр(KHERLENCHIMEG.B),(00352) F Чулуун овоо(KHERLENCHIMEG.B),,,,,,,
D19,0,(00521) Туул төв(DAGIIJANCHIV.E),(00529) Батсүмбэр(KHOSBAYAR.U),(00522) 61-н гарам(KHOSBAYAR.U),(00539) Эмээлтийн зам 2(URANBAIGALI.A),(00246) Эмээлт(URANBAIGALI.A),(00516) Эмээлтийн зам(URANBAIGALI.A),(00091) 22-ын товчоо(URANBAIGALI.A),(00399) Товчооны зам(URANBAIGALI.A),(00408) Товчооны зам 2(URANBAIGALI.A),(00239) 22 товчооны наана(URANBAIGALI.A),(00589) Товчооны зам-3,,,,
D20,0,(00075) Ногоон Нуур(TSENDAYUSH.E),(00094) Про уан оффис(TSENDAYUSH.E),(00138) Хангай хотхон(TSENDAYUSH.E),(00144) F Хайлааст(DASHNYAM.G),(00176) Дөлгөөн нуур(TSENDAYUSH.E),(00216) Хоймор (TSENDAYUSH.E),(00241) Дэнжийн 1000(ERDENE.J),(00274) Рашаант төв(TSENDAYUSH.E),(00312) Найс төв(ERDENE.J),(00333) 16-р сургууль(NARANTSATSRAL.B),(00384) Э.Галданбошготын гудамж (ERDENE.J),(00418) Хайлаастын гудамж(NARANTSATSRAL.B),(00557) Баянбүрдийн тойрог (ERDENE.J),(00590) Их тойруу 2(TSENDAYUSH.E),
D21,0,(00231) Төгөлдөр Апартмент(SARANGEREL.M),(00530) Айрис ресиденс(BAYARSAIKHAN.E),(00453) ХУД Нэгдсэн эмнэлэг(BAYARSAIKHAN.E),(00317) Хангарьд сити 2(BAYARSAIKHAN.E),(00258) Мандала гарден(BAYARSAIKHAN.E),(00237) Арцат-2(BAYARSAIKHAN.E),(00263) Дрийм плаза(SARANGEREL.M),(00134) Фүүд сити(BAYARSAIKHAN.E),(00293) Вива сити(SARANGEREL.M),(00099) Шинэ Өргөө(SARANGEREL.M),,,,,
D22,0,(00566) ОУ-н Улаанбаатар их сургууль(KHERLENCHIMEG.B),(00093) Шөнийн зах(KHERLENCHIMEG.B),(00069) Ногоон Төгөл хотхон(NANDINTSETSEG.BAT),(00223) Эрэлийн 40(NANDINTSETSEG.BAT),(00150) Юү Би тауэр(NANDINTSETSEG.BAT),(00042) F Далай тауэр(NARMANDAKH.BA),(00086) F Барилга.мн(NARMANDAKH.BA),(00055) F 13-ын дунд зам(NARMANDAKH.BA),(00186) Дархан минж(NANDINTSETSEG.BAT),(00068) ХСҮТ(NARMANDAKH.BA),(00126) 84-р сургууль(NANDINTSETSEG.BAT),(00157) А -Үйлс хотхон(NANDINTSETSEG.BAT),(00043) Сэлбэ(NANDINTSETSEG.BAT),,
D23,0,(00007) Шангри-Ла(SUGARSUREN.O),(00545) 220 мянгат салбар,(00050) Бизнес Плаза(ENKHTUYA.G),(00125) Соёмбо тауэр(NANDINTSETSEG.BAT),(00012) Сити Плаза(NANDINTSETSEG.BAT),(00224) Хүнсний 50(ENKHEE.B),(00137) F Рояал Плаза(SUGARSUREN.O),(00526) Номуун хотхон(ENKHEE.B),,,,,,,
