Car Number,Number of stores closed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D34,0,(00018) Ардын Эрх(NARANTSATSRAL.B),(00028) F МУИС ЭЗС(TSENDAYUSH.E),(00030) F 11-р хороолол(ERDENE.J),(00111) Нисора тауэр(ZOLJARGAL.GO),(00113) F 100 айл УБЕГ(DASHNYAM.G),(00133) Сансарын тойрог(ZOLJARGAL.GO),(00161) РЦНК(ZOLJARGAL.GO),(00169) Сансарын колонк(ZOLJARGAL.GO),(00171) Гурван эрдэнэ(TSENDAYUSH.E),(00267) Консул тауэр(ZOLJARGAL.GO),(00270) Эвт төв(ZOLJARGAL.GO),(00298) Барилга мега стор (NARANTSATSRAL.B),(00364) Гэрэлтжин(NARANTSATSRAL.B),(00412) 33-р сургууль(ZOLJARGAL.GO),
D35,0,(00038) Маршал таун(BILGUUN.M),(00076) F Ривер Гарден(SARANTUYA.D),(00081) Кинг Тауэр(BILGUUN.M),(00132) Тайм скүэр(BAYARMAA.T),(00233) Саншайн виллаж(TUNGALAGBOLOR.D),(00243) Cкай Гарден Резиденс (BILGUUN.M),(00266) Модун Таун(BAYARMAA.T),(00419) Ривер Гарден-2(KHONGORZUL.A),(00451) Их Монгол плаза(BILGUUN.M),(00517) Кинг тауэр 2(BILGUUN.M),(00519) ХҮРЭЭЛЭН(TUNGALAGBOLOR.D),,,,
D36,0,(00376) Саруул центр(TUNGALAGBOLOR.D),(00378) Баянмонгол-2(TUNGALAGBOLOR.D),(00035) F Баянмонгол(TUNGALAGBOLOR.D),(00287) Эмералд резиденс(TUNGALAGBOLOR.D),(00027) Кристалл Таун(TUNGALAGBOLOR.D),(00339) Чухаг хотхон(ALTANCHIMEG.E),(00065) F Олимп хотхон(KHERLENCHIMEG.B),(00100) Элизабет(TUNGALAGBOLOR.D),(00427) Их наяд(TUNGALAGBOLOR.D),(00145) Саруул хороолол(TUNGALAGBOLOR.D),(00520) Сакура бьюлдинг(TUNGALAGBOLOR.D),(00180) Мандала хотхон(TUNGALAGBOLOR.D),(00077) F Парк Од(TUNGALAGBOLOR.D),(00148) Нархан хотхон(ALTANCHIMEG.E),(00209) Бүти таун(ALTANCHIMEG.E)
D37,0,(00047) F Аман Хуур 1(USUKHBAYAR.B),(00082) Аман Хуур 2(USUKHBAYAR.B),(00083) КТМС(BATMUNKH.E),(00092) Цагаан хуаран(USUKHBAYAR.B),(00128) ХӨСҮТ хойд(USUKHBAYAR.B),(00154) F Сансарын туннел(BATMUNKH.E),(00210) Сүхбаатар нэгдсэн эмнэлэг(NARANTSATSRAL.B),(00282) Шилэн зах(USUKHBAYAR.B),(00329) F Нарт хотхон 2(USUKHBAYAR.B),(00357) Дарь эхийн гудамж(NARANTSATSRAL.B),(00361) F Намъянжүгийн гудамж (KHERLENCHIMEG.B),(00370) Дарь-Эхийн уулзвар(NARANTSATSRAL.B),(00513) Их тойруу(NARANTSATSRAL.B),"(00553) Дарь-Эх, Монелийн уулзвар(NARANTSATSRAL.B)",(00581) Өлзий төв(USUKHBAYAR.B)
D38,0,(00031) F Наадам(SAIKHANBILEG.KH),(00183) Астра Плэйс(BOLORTUYA.E),(00175) Соёмбот уул(BAYARMAA.T),(00123) F Будда виста(BAYARMAA.T),(00439) Севен стар(BAYARMAA.T),(00299) Зайсан ресидинс(BAYARMAA.T),(00021) Зайсан Хилл(BAYARMAA.T),(00199) Рома таун(BAYARMAA.T),(00373) Зайсангийн эцэс(BAYARMAA.T),(00265) Вайт Хилл(BAYARMAA.T),(00053) Зайсан(BAYARMAA.T),,,,
D39,0,(00505) Зүчи зочид буудал(BOLORTUYA.E),(00061) Энхтайваны гүүр(BOLORTUYA.E),(00079) F Нарны хороолол 2(SARANTUYA.D),(00482) Тара центр(ALTANCHIMEG.E),(00300) Гэрлүг виста(BILGUUN.M),(00158) Хүннү плас(BILGUUN.M),(00033) Хүннү2222(KHONGORZUL.A),(00184) Удирдлагын академи(BILGUUN.M),(00116) F Парк гарден(KHALIUN.B),(00292) Цэнгэлдэх хотхон(BILGUUN.M),(00014) Рапид Харш(ALTANCHIMEG.E),(00410) Токио таун-2(ALTANCHIMEG.E),(00051) F Гэгээнтэн(KHONGORZUL.A),,
D40,0,(00204) Нэхмэл хотхон(BOLORTUYA.E),(00253) F Хонгор Апартмент(KHONGORZUL.A),(00308) Кози Апартмент(SARANGEREL.M),(00543) Тэх Мөнх(DAGIIJANCHIV.E),(00101) F 19-р хороолол(BAYARMAA.T),(00283) 19-н үйлчилгээний төв(BAYARMAA.T),(00480) Дунд гол(BOLORTUYA.E),(00235) 120 мянгат(BOLORTUYA.E),(00070) Алтай хотхон(SARANGEREL.M),(00301) Алтай хотхон 2(SARANGEREL.M),(00140) F Пийс таун(KHONGORZUL.A),,,,
D41,0,(00001) F Юү Би Эйч Бьюлдинг (SUGARSUREN.O),(00010) F Сансар Хэт төв(ERDENE.J),(00022) 13 Оч Төв(ZOLJARGAL.GO),(00064) F Американ Дэнж(SULDERDENE.Z),(00139) F Миллениум плаза(NARMANDAKH.BA),(00153) Их засаг(BATMUNKH.E),(00187) F Жуков худалдааны төв(BATMUNKH.E),(00188) Ахуй үйлчилгээний төв(BATMUNKH.E),(00347) Наран Ундраа төв(NANDINTSETSEG.BAT),(00354) Эрхэт худалдааны төв(NARMANDAKH.BA),(00397) Б.Доржийн гудамж (BATMUNKH.E),(00509) Шинэ Сансар зах(BATMUNKH.E),(00552) 13-р хороолол(NARMANDAKH.BA),(00564) Оршил центр(NARMANDAKH.BA),
D42,0,(00037) 10-р хороолол(DAGIIJANCHIV.E),(00066) Голден Парк хотхон(BILGUUN.KHU),(00074) 3-р эмнэлэг(SUKHBAT.B),(00090) Материал импекс(BILGUUN.KHU),(00103) Сувилахуйн сургууль(SUKHBAT.B),(00115) F Хархорин(SUKHBAT.B),(00205) Талын болор(SUKHBAT.B),(00219) F 10-р хороолол 2(DAGIIJANCHIV.E),(00232) Өргөө 68(SUKHBAT.B),(00251) Гурвалжин салбар(SUKHBAT.B),(00327) Арвин(DAGIIJANCHIV.E),(00332) Сод төв(BILGUUN.KHU),(00389) Юнити центр(BILGUUN.KHU),(00565) 3-р эмнэлэгийн хойд буудал(SUKHBAT.B),
D43,0,(00127) F ХУД(BAYARMAA.T),(00173) F САЦ зочид буудал(BAYARMAA.T),(00238) Морьтон цогцолбор(BOLORTUYA.E),(00058) Интермед(SARANGEREL.M),(00122) Шинэ мөрөөдөл хотхон(BOLORTUYA.E),(00067) Юү Би Таун 2(BOLORTUYA.E),(00041) Юү Би Таун(BOLORTUYA.E),(00147) Зайсан апартмент(BOLORTUYA.E),(00550) Чингисийн өргөн чөлөө(BOLORTUYA.E),(00535) Эрчим (SARANGEREL.M),(00089) Гутлын үйлдвэр(SARANGEREL.M),(00259) Скай смарт(SARANGEREL.M),(00272) Комфорт плаза(SARANGEREL.M),(00275) Үйлдвэрийн гудамж(SARANGEREL.M),(00567) Ажилчны гудамж(SARANGEREL.M)
D44,0,(00260) F Саппоро(SUKHBAT.B),(00393) 1-р хорооллын арын зам(ENKHTUUL.E),(00540) Сонне плаза(ENKHTUUL.E),(00017) F Модны 2(TSENDAYUSH.E),(00221) Намуун зочид буудал(TSENDAYUSH.E),(00155) БГД 17-р хороо(UUGANTSETSEG.N),(00054) Модны 2 Элеганс Таун(TSENDAYUSH.E),(00190) Амарсанаагийн гудамж(TSENDAYUSH.E),(00005) Гурванбилэг(KHOSBAYAR.U),(00046) Богд-Ар(BILGUUN.KHU),(00106) Премиум Улаанбаатар(BILGUUN.KHU),(00196) F Вокзал(DAGIIJANCHIV.E),(00374) Наранбулаг Зочид буудал(DAGIIJANCHIV.E),,
D45,0,(00151) F 21-р хороолол(NYAMNOROV.B),(00117) F СХД(NYAMNOROV.B),(00544) Орчлон хороолол 2(TUGULDUR.G),(00305) Сонгинохайрхан зах(TUGULDUR.G),(00034) Содон(TUGULDUR.G),(00195) F Драгон(SUGARSUREN.O),(00494) Эн Си Бьюлдинг (TUGULDUR.G),(00450) Элим тауэр(TUGULDUR.G),(00179) Москва хороолол(TUGULDUR.G),(00460) Ундрах төв(TUGULDUR.G),(00508) Баянбалбар(TUGULDUR.G),(00217) 32-н буудал(SUKHBAT.B),(00462) Хархорин Пирамид(SUKHBAT.B),,
D46,0,(00121) F Премиум палас(ENKHTUYA.G),(00165) Зурагтын зам(KHOSBAYAR.U),(00185) Баруун 4 замын хойд(BYAMBASUREN.DO),(00220) Гандан(UUGANTSETSEG.N),(00286) Бөмбөгөр(ENKHTUYA.G),(00338) Зурагтын шинэ эцэс(UUGANTSETSEG.N),(00350) Рич зочид буудал(BYAMBASUREN.DO),(00356) Гандангийн хойд(UUGANTSETSEG.N),(00369) F Орхон 11 гудамж (TSENDAYUSH.E),(00371) Баянбүрд(TSENDAYUSH.E),(00375) Макс молл(ENKHTUYA.G),(00379) Маргад центр(BYAMBASUREN.DO),,,
D47,0,(00168) Тасганы овоо(UUGANTSETSEG.N),(00225) Шар Ордон(UUGANTSETSEG.N),(00318) F Баянхошууны зам(KHOSBAYAR.U),(00421) Баянхошууны зам 2(UUGANTSETSEG.N),(00362) Буман төв(UUGANTSETSEG.N),(00394) Баянхошууны шинэ эцэс(UUGANTSETSEG.N),(00360) Зүүн салааны эцэс(UUGANTSETSEG.N),(00490) Ханхөхий төв(UUGANTSETSEG.N),(00345) Баянхошууны эцэс(UUGANTSETSEG.N),(00504) Норвуун рава төв(UUGANTSETSEG.N),(00337) Баянхошуу Өн цаг төв(TUGULDUR.G),(00396) Москвагийн гудамж(TUGULDUR.G),(00584) Ханын материал(TUGULDUR.G),,
D48,0,(00181) Энхжин худалдааны төв(TUGULDUR.G),(00342) Толгойтын эцэс(URANBAIGALI.A),(00380) Орбитын тойрог(URANBAIGALI.A),(00388) Тахилт(URANBAIGALI.A),(00391) Нефть хотхон(SUGARSUREN.O),(00395) Толгойтын гудамж (NYAMNOROV.B),(00401) Шинэ Алтай зочид буудал(TUGULDUR.G),(00403) Залуус хороолол(TUGULDUR.G),(00437) Эко төв(URANBAIGALI.A),(00440) Хилчин холбоочидын гудамж(URANBAIGALI.A),(00445) Тахилтын эцэс(URANBAIGALI.A),(00489) Их наран (NYAMNOROV.B),(00576) Сэлэнгэ зах(SUGARSUREN.O),,
